Número de artículo del comerciante	EAN / GTIN / Código de barras / UPC	Número original del artículo del fabricante (HAN/MPN)	Nombre del fabricante/marca	Nombre del producto	Precio (bruto)	Precio especial	Precio original	Plazo de entrega	Categoría del producto en la tienda	Descripción del producto	Características del producto / Otros atributos	URL del producto	URL de la imagen	Reembolso	Transferencia	Paypal
9	9	SMAU007		Auricular Bluetooth BS 100	24.949958	24.949958	24.949958		Auriculares	Totalmente inalámbrico, control inteligente de opciones. Versión bluetooth  4.1, micro cargador USB, puedes conectarlo con 2 teléfonos móviles,  distancia máxima del dispositivo 10 metros, cargador de 32 mA, hasta  tres horas de duración hablando, tiempo de reproducción múltiple  25 horas, 130 horas en stand by, 2 horas para cargarlo completamente  con indicador en el display. Muy ligero fácil de colocar y utilizar,  sonido perfecto.		http://sonidomobile.com/producto/9/auricular-bluetooth-bs-100	http://sonidomobile.com/imagenesproductos/5a380425c77bf_auricular-bluetooth-bs-100.jpg	0.00	0.00	0.00
10	10	SMCA003		Power Bank Mako 10.000 mAh 	27.849965	27.849965	27.849965		 Cargadores	Para todo tipo de dispositivos, cámaras fotográficas, mandos de Play,  móviles, tablets, etc. , gran poder de carga. Diseño moderno y  atractivo con pantalla para ver el porcentaje de carga restante.  Resistente a golpes y aplastamiento, chip inteligente, protección  sobre subidas de tensión y alto voltaje. Dimensiones 115 x 66 x 22  mm.  DC 5V-1.0A/2.0A de 180 gr.		http://sonidomobile.com/producto/10/power-bank-mako-10.000-mah-	http://sonidomobile.com/imagenesproductos/5a37c1d2a121f_power-bank-mako-10.000-mah-.jpg	0.00	0.00	0.00
11	11	SMCA001		Funda cargadora Saki 2850 mAh  para iph 6 y 7	28.69999	28.69999	28.69999		 Cargadores	Funda  cargadora para Iph 6/7 Iph 6+/7+ con una potencia de 2.850 mAh . Este  producto con un diseño moderno y bello de tan sólo 11,3 mm de  espesor, con un peso de 83 gr. se acopla perfectamente al teléfono  dejando ver todos los botones principales lo hace excepcionalmente  vistoso sin restar el diseño inicial . Se puede cargar junto al  teléfono o de forma separada, mediante un pulsador en la parte  trasera podemos hacer que vierta la carga a nuestro terminal cuando  lo precise, haciendo que la autonomía se multiplique por casi tres  veces la normal.  <br><br><br><br><br><br><br><br><br><br><br><br><br><br>		http://sonidomobile.com/producto/11/funda-cargadora-saki-2850-mah--para-iph-6-y-7	http://sonidomobile.com/imagenesproductos/5a37c349ec585_funda-cargadora-saki-2850-mah--para-iph-6-y-7.jpg	0.00	0.00	0.00
12	12	SMCA002		Funda cargadora Saki 3850 mAh para iph 6+ y 7+	29.750028	29.750028	29.750028		 Cargadores	Funda  cargadora para Iph 6/7 Iph 6+/7+ con una potencia de 2.850 mAh . Este  producto con un diseño moderno y bello de tan sólo 11,3 mm de  espesor, con un peso de 83 gr. se acopla perfectamente al teléfono  dejando ver todos los botones principales lo hace excepcionalmente  vistoso sin restar el diseño inicial . Se puede cargar junto al  teléfono o de forma separada, mediante un pulsador en la parte  trasera podemos hacer que vierta la carga a nuestro terminal cuando  lo precise, haciendo que la autonomía se multiplique por casi tres  veces la normal.  <br><br><br><br><br><br><br><br><br><br><br><br><br><br>		http://sonidomobile.com/producto/12/funda-cargadora-saki-3850-mah-para-iph-6-y-7	http://sonidomobile.com/imagenesproductos/5a37c36f2dc3a_funda-cargadora-saki-3850-mah-para-iph-6-y-7.jpg	0.00	0.00	0.00
13	13	SMFU004		Phone case Azure Stone Negra	16.849976	16.849976	16.849976		Fundas	Materiales: Cristal y marco de goma. 9 H de dureza, la máxima para protectores de pantalla. Espesor de 0,8 mm . Evita roturas por su dureza y consistencia. Anti huella. Aislamiento para la entrada de aire, por su perfecto acople. Resistente al agua (Salpicaduras).    No pierde señal de wifi ni operador telefónico con la carcasa puesta. Disponible en cuatro colores , azul, rojo, negro y verde. Con un packagin de primera para un producto de primera. Sorprende con esta carcasa que hará que tu teléfono resalte su belleza.	Modelo:iPhone6-Iphone6Plus-iPhone7-iPhone7Plus	http://sonidomobile.com/producto/13/phone-case-azure-stone-negra	http://sonidomobile.com/imagenesproductos/5a37ee3b4c2a8_phone-case-azure-stone-negra.jpg	0.00	0.00	0.00
16	16	SMPR001		Protector Cristal Templado	2.450008	2.450008	2.450008		Protectores de pantallas	Protector de Pantalla en Cristal Templado 9H de dureza de 0,26mm y 0,3mm 2,5D.<br><br><br>Protector de calidad disponible para los modelos:<br><br>iPhone 6, 7<br>iPhone 6+, 7+<br>iPhone X<br>Las versiones del 7 y 7+ son compatible con el iPhone 8 y 8+.<br><br>Si además eres de los que cambias habitualmente de protector este es el tuyo, tiendo una dureza duradera y con ajuste ideal a tu smartphone.<br>Se envía con set de limpieza incluido.	Modelo:iPhone6-Iphone6Plus-iPhone7-iPhone7Plus-iPhoneX	http://sonidomobile.com/producto/16/protector-cristal-templado	http://sonidomobile.com/imagenesproductos/5a3934b9d4b05_protector-cristal-templado.jpg	0.00	0.00	0.00
17	17	SMPR002		Tempered Glass 3D Curvo blanco	4.749976	4.749976	4.749976		Protectores de pantallas	Protector Cristal Templado Completo 3D Curvo<br><br>Disponible para:<br><br>iPh6 y 6+<br>iPh7 y 7+<br>iPh8 y 8+<br>iPhone X<br><br>En variedad de tres tonos de colores, negro, blanco y oro. Alta Calidad, repele radiación de luz con máxima dureza del cristal 9H totalmente acoplable. Una Pantalla protectora integral, con buena relación calidad precio.<br><br>Totalmente transparente.<br>Dureza de la superficie.<br>Evita que la pantalla explote.<br>Toque delicado.<br>Dureza 9H resistente a golpes y arañazos.	Modelo:iPhone6-Iphone6Plus-iPhone7-iPhone7Plus-Iphone8-Iphone8Plus	http://sonidomobile.com/producto/17/tempered-glass-3d-curvo-blanco	http://sonidomobile.com/imagenesproductos/5a39398d29d88_tempered-glass-3d-curvo-blanco.jpg	0.00	0.00	0.00
18	18	SMPR002		Tempered Glass 3D Curvo Gold	4.749976	4.749976	4.749976		Protectores de pantallas	Protector Cristal Templado Completo 3D Curvo.Disponible para: iPh6 y 6+ iPh7 y 7+ iPh8 y 8+iPhone X En variedad de tres tonos de colores, negro, blanco y oro. Alta Calidad, repele radiación de luz con máxima dureza del cristal 9H totalmente acoplable. Una Pantalla protectora integral, con buena relación calidad precio.Totalmente transparente.Dureza de la superficie. Evita que la pantalla explote. Toque delicado. Dureza 9H resistente a golpes y arañazos.	Modelo:iPhone6-Iphone6Plus-iPhone7Plus-iPhoneX	http://sonidomobile.com/producto/18/tempered-glass-3d-curvo-gold	http://sonidomobile.com/imagenesproductos/5a393f3068fe6_tempered-glass-3d-curvo-gold.jpg	0.00	0.00	0.00
19	19	SMPR004		Protector Cristal Templado X2	9.899978	9.899978	9.899978		Protectores de pantallas	X2 Protectores de Pantalla en Cristal Templado 9H de dureza de 0,33mm.<br><br><br>Protector de calidad disponible para los modelos:<br><br>iPhone 6, 7<br>iPhone 6+, 7+<br><br>Las versiones del 7 y 7+ son compatible con el iPhone 8 y 8+.<br><br>Estuche con 2 protectores de Cristal Templado, resistente a los arañazos, Alta Definición, anti huellas con 9H de dureza, la máxima para protectores de pantalla. Incluye set completo para su colocación con toallita de limpieza, de secado y tira adhesiva para restar la electricidad estática para una perfecta colocación.<br>Se entrega con un packaging digno de la calidad del producto con 2 unidades de protector. Estás ante una de las mejores pantallas protectoras del mercado.<br><br>	Modelo:iPhone6-Iphone6Plus-iPhone7-iPhone7Plus	http://sonidomobile.com/producto/19/protector-cristal-templado-x2	http://sonidomobile.com/imagenesproductos/5a394e974f090_protector-cristal-templado-x2.png	0.00	0.00	0.00
20	20	SMPR003		Tempered Glass 4D, 5D Negro	6.799958	6.799958	6.799958		Protectores de pantallas	Protector Cristal Templado 4D y 5D.<br><br><br>Protectores de Cristal templado de alta calidad en 4D y 5D disponibles para:<br><br>iPhone6, 7, 8<br>iPhone6+, 7+, 8+<br>iPhone X<br><br>Un protector revolucionario curvo que hará un acople perfecto, super resistente en 9H de dureza máxima haciendo su teléfono mucho más vistoso y protegido.<br>Con este protector tu teléfono estará libre de golpes y arañazos.	Modelo:iPhone6-iPhone7-iPhone7Plus-Iphone8-Iphone8Plus-iPhoneX	http://sonidomobile.com/producto/20/tempered-glass-4d-5d-negro	http://sonidomobile.com/imagenesproductos/5a394cbd05382_tempered-glass-4d-5d-negro.jpg	0.00	0.00	0.00
21	21	SMPR003		Tempered Glass 4D, 5D Blanco	6.799958	6.799958	6.799958		Protectores de pantallas	Protector Cristal Templado 4D y 5D.<br><br><br>Protectores de Cristal templado de alta calidad en 4D y 5D disponibles para:<br><br>iPhone6, 7, 8<br>iPhone6+, 7+, 8+<br>iPhone X<br><br>Un protector revolucionario curvo que hará un acople perfecto, super resistente en 9H de dureza máxima haciendo su teléfono mucho más vistoso y protegido.<br>Con este protector tu teléfono estará libre de golpes y arañazos.	Modelo:iPhone6-Iphone6Plus-iPhone7-iPhone7Plus-Iphone8-Iphone8Plus-iPhoneX	http://sonidomobile.com/producto/21/tempered-glass-4d-5d-blanco	http://sonidomobile.com/imagenesproductos/5a395075e1e25_tempered-glass-4d-5d-blanco.jpg	0.00	0.00	0.00
